versione dati,03/10/2016,0.0.2,,
CAVALCAVIA S. LORENZO,14/10/2016,,,
CORSO 3 NOVEMBRE,19/10/2016,,,compresi vialetti
CORSO ALPINI,12/10/2016,,,lato est
CORSO ALPINI,11/10/2016,,,lato ovest
CORSO BUONARROTI,10/10/2016,,,lato est
CORSO BUONARROTI,12/10/2016,,,lato ovest
GALLERIA ADRIA,03/10/2016,22:30,03:30,lavaggio a mano con idrante
GALLERIA ADRIA,06/10/2016,22:30,03:30,lavaggio a mano con idrante
LARGO CARDUCCI,05/10/2016,20:00,22:30,
LARGO DONATORI VOLONTARI SANGUE,28/10/2016,,,
LARGO MEDAGLIA D'ORO,28/10/2016,,,
LARGO PIGARELLI,17/10/2016,,,
LARGO PORTA NUOVA,17/10/2016,,,
LARGO PRATI,25/10/2016,,,
LARGO SAURO,12/10/2016,,,
LUNGADIGE APULEIO,11/10/2016,,,
LUNGADIGE BRAILLE,10/10/2016,,,
LUNGADIGE LEOPARDI,10/10/2016,,,
PARCHEGGIO EX ZUFFO,13/10/2016,,,
PARCHEGGIO MONTE BALDO,14/10/2016,,,
PARCHEGGIO PETRARCA,07/10/2016,,,
PARCHEGGIO SANSEVERINO,20/10/2016,,,
PIAZZA BATTISTI,05/10/2016,20:00,22:30,
PIAZZA CENTA,07/10/2016,,,
PIAZZA DA VINCI,13/10/2016,,,
PIAZZA DUOMO,04/10/2016,20:00,22:30,
PIAZZA FIERA,06/10/2016,20:00,22:30,
PIAZZA FIERA,24/10/2016,,,
PIAZZA GARZETTI,06/10/2016,20:00,22:30,
PIAZZA GEN. CANTORE,11/10/2016,,,
PIAZZA LODRON,04/10/2016,20:00,22:30,
PIAZZA PASI,03/10/2016,22:30,03:30,lavaggio a mano con idrante
PIAZZA PASI,04/10/2016,20:00,22:30,
PIAZZA PASI,05/10/2016,22:30,03:30,lavaggio a mano con idrante
PIAZZA PELLICO,12/10/2016,,,
PIAZZA S. MARIA MAGGIORE,04/10/2016,20:00,22:30,
PIAZZA SANZIO,18/10/2016,,,
PIAZZA VENEZIA,18/10/2016,,,
PONTE S. LORENZO,14/10/2016,,,
VIA 24 MAGGIO,14/10/2016,,,
VIA A PRATO,24/10/2016,,,
VIA ABBA,24/10/2016,,,
VIA ACONCIO,07/10/2016,,,
VIA ADAMELLO,26/10/2016,,,
VIA ALFIERI,04/10/2016,20:00,22:30,solo Centro Storico
VIA ALFIERI,18/10/2016,,,da Via Torre Verde fino a Via Gazzoletti
VIA ALTIPIANI,27/10/2016,,,
VIA AMBROSI,07/10/2016,,,
VIA ANZOLETTI,27/10/2016,,,lato est
VIA APOLLONIO,27/10/2016,,,lato sud
VIA ASILO PEDROTTI,20/10/2016,,,
VIA BARBACOVI,17/10/2016,,,
VIA BELENZANI,04/10/2016,20:00,22:30,
VIA BENEVOLI,27/10/2016,,,
VIA BEZZECCA,26/10/2016,,,
VIA BEZZI,14/10/2016,,,
VIA BOLOGNINI,27/10/2016,,,
VIA BOMPORTO,13/10/2016,,,
VIA BONELLI,25/10/2016,20:00,22:00,
